Season,Episode,EpisodeID,TTID,Title,Director,AirDate,Rating,Votes
1,1,S01E01,tt3464768,Uno,Vince Gilligan,2015-02-08,8.4,25000
1,2,S01E02,tt3857028,Mijo,Michelle MacLaren,2015-02-09,8.9,24000
1,3,S01E03,tt3858672,Nacho,Terry McDonough,2015-02-16,8.6,20000
1,4,S01E04,tt3864892,Hero,Colin Bucksey,2015-02-23,8.3,19000
1,5,S01E05,tt3876380,Alpine Shepherd Boy,Nicole Kassell,2015-03-02,8.0,18000
1,6,S01E06,tt3866650,Five-O,Adam Bernstein,2015-03-09,9.4,28000
1,7,S01E07,tt3884286,Bingo,Larysa Kondracki,2015-03-16,8.6,18000
1,8,S01E08,tt3895284,RICO,Colin Bucksey,2015-03-23,8.6,17000
1,9,S01E09,tt3895286,Pimento,Thomas Schnauz,2015-03-30,9.4,23000
1,10,S01E10,tt3895288,Marco,Peter Gould,2015-04-06,8.6,18000
2,1,S02E01,tt3824148,Switch,Thomas Schnauz,2016-02-15,8.2,16000
2,2,S02E02,tt4462674,Cobbler,Terry McDonough,2016-02-22,8.5,15000
2,3,S02E03,tt4462676,Amarillo,Scott Winant,2016-02-29,8.2,14000
2,4,S02E04,tt4462678,Gloves Off,Adam Bernstein,2016-03-07,8.9,16000
2,5,S02E05,tt4462682,Rebecca,John Shiban,2016-03-14,7.9,14000
2,6,S02E06,tt4462680,Bali Ha'i,Michael Slovis,2016-03-21,8.4,14000
2,7,S02E07,tt4462684,Inflatable,Colin Bucksey,2016-03-28,8.3,14000
2,8,S02E08,tt4462686,Fifi,Larysa Kondracki,2016-04-04,8.3,14000
2,9,S02E09,tt4462688,Nailed,Peter Gould,2016-04-11,9.3,17000
2,10,S02E10,tt4462690,Klick,Vince Gilligan,2016-04-18,9.0,16000
3,1,S03E01,tt5554490,Mabel,Vince Gilligan,2017-04-10,8.1,15000
3,2,S03E02,tt5579594,Witness,Vince Gilligan,2017-04-17,9.0,16000
3,3,S03E03,tt5719532,Sunk Costs,John Shiban,2017-04-24,8.4,14000
3,4,S03E04,tt5719534,Sabrosito,Thomas Schnauz,2017-05-01,8.9,15000
3,5,S03E05,tt5719536,Chicanery,Daniel Sackheim,2017-05-08,9.7,31000
3,6,S03E06,tt5719540,Off Brand,Keith Gordon,2017-05-15,8.4,13000
3,7,S03E07,tt5719542,Expenses,Thomas Schnauz,2017-05-22,8.2,13000
3,8,S03E08,tt5719546,Slip,Adam Bernstein,2017-06-05,8.5,13000
3,9,S03E09,tt5719544,Fall,Minkie Spiro,2017-06-12,8.8,14000
3,10,S03E10,tt5570804,Lantern,Peter Gould,2017-06-19,9.2,17000
